#SampleID,genotype,fertility,amf,rep,group,shoot_mass,root_mass,total_mass,ratio_root_to_shoot,root_colonization,TN,P,Ca,K,Mg,Na,S,B,Fe,Zn,Cu,Mn,Length,AvgDiam,Forks,SurfArea,Origin,Percent
L65,6,PP,Y,1,Hybrid (C. transvaalensis),20.612,15.15,35.762,0.423634025,42,1.564752,0.064,1.042,1.031,0.248,0.084,0.364,8.668,502.387,40.999,49.371,79.963,145.5838,0.4753,859,21.7408,Asian,75%
L66,6,PP,Y,2,Hybrid (C. transvaalensis),17.692,13.86,31.552,0.439274848,32,1.63344,0.053,0.775,1.351,0.2,0.107,0.339,9.613,295.063,34.302,16.924,56.827,214.5563,0.3187,1390,21.4827,Asian,75%
L67,6,PP,Y,4,Hybrid (C. transvaalensis),30.406,6.73,37.136,0.181225765,27,1.353056,0.055,0.682,1.058,0.209,0.126,0.284,8.637,162.681,34.338,17.993,65.723,176.8646,0.2966,1039,16.4826,Asian,75%
L68,6,PPP,Y,5,Hybrid (C. transvaalensis),27.758,11.19,38.948,0.287306152,32,1.270496,0.052,0.974,0.717,0.255,0.07,0.32,7.971,263.769,41.6,26.494,148.139,246.7775,0.3286,1648,25.4773,Asian,75%
L69,6,PPP,Y,1,Hybrid (C. transvaalensis),22.709,4.8,27.509,0.174488349,36,1.447888,0.075,0.818,1.025,0.219,0.103,0.331,9.66,189.73,33.673,24.364,64.343,181.7397,0.3066,1277,17.506,Asian,75%
L7,1,PP,Y,4,Common (C. dactylon),30.64,11.31,41.95,0.269606675,30,1.6081,0.116,0.67,1.304,0.281,0.181,0.359,8.354,77.268,36.093,11.866,54.838,367.4444,0.376,3060,43.4037,African,100%
L70,6,PPP,Y,2,Hybrid (C. transvaalensis),27.818,17.04,44.858,0.379865353,32,1.241424,0.059,0.728,0.856,0.205,0.099,0.262,10.13,110.337,26.545,14.826,54.724,246.4734,0.337,2045,26.0969,Asian,75%
L71,6,PPP,Y,4,Hybrid (C. transvaalensis),19.755,11.51,31.265,0.368143291,29,1.453152,0.081,0.769,1.04,0.209,0.117,0.329,10.443,95.799,31.709,23.315,52.665,220.8936,0.2541,1478,17.6336,Asian,75%
L72,7,P,Y,5,Hybrid (C. transvaalensis),22.47,8.59,31.06,0.276561494,40,1.6,0.066,0.61,1.092,0.238,0.154,0.269,6.672,57.201,30.798,18.407,62.069,162.7737,0.2392,920,12.2329,Asian,67%
L73,7,P,Y,1,Hybrid (C. transvaalensis),22.373,19.1,41.473,0.460540593,40,1.48,0.069,0.658,1.033,0.236,0.119,0.244,5.202,177.682,41.401,30.058,65.222,462.1462,0.2701,3214,39.2201,Asian,67%
